SKU,Title,Price,Compare-at Price,pdp_ availability,pdp_freeshippingitem,pdp_vendor_part_no,new compare
"=""SPIFL20""",Olympic FL20 Complete Front Loading Kiln Package,16522.00,,16-22 Weeks,false,SPIFL20,
"=""SPIFL24""",Olympic FL24 Complete Front Loading Kiln Package,18207.00,0.00,16-22 Weeks,false,SPIFL24,
"=""SPIFL27""",Olympic FL27 Complete Front Loading Kiln Package,21742.00,0.00,16-22 Weeks,false,SPIFL27,
"=""SPIFL31""",Olympic FL31 Complete Front Loading Kiln Package,24507.00,0.00,16-22 Weeks,false,SPIFL31,
"=""SPIFL53""",Olympic FL53 Complete Front Loading Kiln Package,35245.00,,16-22 Weeks,false,SPIFL53,
"=""SPIFL8""",Olympic FL8 Complete Front Loading Kiln Package,10959.00,0.00,16-22 Weeks,false,SPIFL8,
"=""OLFL42""",Olympic FL-42 Front Loading Kiln,25199.00,27190.00,14-16 Weeks,true,FL42E,29950.00
"=""OLSTYPE""",Olympic S-type Thermocouple Upgrade,599.00,,,true,,650.00
"=""OLTL20FK""",Olympic TL20 Furniture Kit,1188.75,,,false,,1830.00
"=""OLHB89SHELF""",Olympic HB89 Extra Shelf,26.00,,,true,,31.00
"=""OLK3K""",Olympic Electro-Sitter : 3 Key Base Model,855.00,,,true,,1250.00
"=""OL18RAFK""",18 Raku Furniture Kit,326.25,,,false,,505.00
"=""OL23RAFK""",23 Raku Furniture Kit,577.50,,,false,,935.00
"=""OL28RAFK""",28 Raku Furniture Kit,645.00,,,false,,1000.00
"=""OL1823EFK""",Furniture Kit for OL1823ERAKU,210.00,,,false,,380.00
"=""OL1214ERAFK""",Furniture Kit for OL1214ERAKU,183.75,,,false,,285.00
"=""OL1827GFK""",1827 TorcHBearer Furniture Kit,217.50,,,false,,325.00
"=""OLDD12FK""",Olympic DD12 Furniture Kit,821.25,,,false,,1240.00
"=""OLDD9FK""",Olympic DD9 Furniture Kit,915.00,1077.00,,false,,1200.00
"=""OLDD14FK""",Olympic DD14 Furniture Kit,877.50,,,false,,1240.00
"=""OL2018BR""","Olympic: ADD a 4.5"" blank ring: ADDs 1.98 cu ft.",280.00,,,true,,480.00
"=""OL25HOFK""",Olympic ADD the Oval 25H Furniture Kit,742.50,,,false,,1140.00
"=""OL30HEFK""",ADD the Oval 30H Furniture Kit,975.00,,,false,,1395.00
"=""OLDD17FK""",Olympic DD17 Furniture Kit,877.50,,,false,,1240.00
"=""OLDD20FK""",Olympic DD20 Furniture Kit,1361.25,,,false,,2105.00
"=""OLHLC120""",Olympic 120V High Limit Controller,1320.00,,,true,,1600.00
"=""OLDD24FK""",Olympic DD24 Furniture Kit,1413.75,,,false,,2185.00
"=""OLDD30FK""",Olympic DD30 Furniture Kit,1545.00,,,false,,2265.00
"=""OLDD40FK""",Olympic DD40 Furniture Kit,1710.00,,,false,,2585.00
"=""OLTRAVFK""",Traveler Furniture Kit,176.25,,,false,,260.00
"=""OLLPR18""","Olympic: ADD Low Pressure Regulator for 18"" Gas Kiln",155.00,,,true,,175.00
"=""OLGH""",Olympic Galvanized Hood for DD Gas Kilns,1695.00,,,true,,1700.00
"=""OLHSSUPD""","Olympic 36""x36"" Stainless Vent Hood for 18"" and 23"" Gas Kilns",1525.00,,,true,,1700.00
"=""OLSSH4040""","Olympic 40""x40""  Stainless Vent Hood for 28"" Gas Kilns",1670.00,,,true,,1750.00
"=""OLHOSS""",Olympic Stainless Hood for DD Gas Kilns,2100.00,,,true,,1800.00
"=""OLWINDOW24""","Olympic: ADD 2"" x 4"" Rectangle Quartz Window",127.00,,,true,,150.00
"=""OLWINDOW2R""","Olympic: ADD 2"" Round Quartz Window",94.00,,,true,,115.00
"=""OLHB64E""",Olympic Hotbox or HB64 Furniture Kit,63.75,,,false,,100.00
"=""OLO20FK""",ADD the Oval 20 Furniture Kit,371.25,,,false,,745.00
"=""OLDM1823FK""",DM 1818 and 1823 Furniture Kit,228.75,,,false,,385.00
"=""OLDM182327FK""","DM 2318, 2323 and 2327 Furniture Kit",427.50,,,false,,630.00
"=""OLDM2818FK""",DM 2818  Furniture Kit,540.00,,,false,,880.00
"=""OLDM2327FK""",DM 2823 and 2827  Furniture Kit,540.00,,,false,,880.00
"=""OLDM2523FK""",DM 2523  Furniture Kit,772.50,,,false,,1255.00
"=""OLDM301823FK""",DM 3018 and 3023  Furniture Kit,903.75,,,false,,1475.00
"=""OL2731GFK""","2327, 2331 TorcHBearer Furniture Kit",567.00,,,false,,756.00
"=""OLGF2ETLCSK""",Olympic GF2ETLC : ADD the shelf kit,250.00,,,true,,315.00
"=""OLGF3ETLCSK""",Olympi: ADD Shelf kit to GF3ETLC Save 20%,330.00,,,true,,385.00
"=""OLEK3Z""",Olympic 3 Zone Option for Electric Kilns,240.00,,,true,,295.00
"=""OL18BR""","ADD Blank ring to 18"" (non ""H"") ADDs 0.66 cu ft.",240.00,,,true,,300.00
"=""OL18BRH""","ADD Blank ring to 18"" ""H"" Models ADDs 0.66 cu ft.",280.00,,,true,,350.00
"=""OL23HFK""","ADD Furniture Kit to 23""H  Standard Electric Kiln",491.25,,,false,,630.00
"=""OL18HFK""","ADD Furniture Kit to Standard 18"" Electric Kiln",257.00,343.00,,false,,385.00
"=""OL28HFK""","ADD Furniture Kit to 28""H Standard Electric Kiln",540.00,,,false,,880.00
"=""OL28FK""","ADD Furniture Kit to 28"" Standard Electric Kiln",495.00,,,false,,820.00
"=""OL23FK""","ADD Furniture Kit to 23"" 2.5"" Electric Kiln",491.25,,,false,,585.00
"=""OL23BR""","ADD Blank ring to 23"" (non ""H"") ADDs 1.05 cu ft.",280.00,,,true,,350.00
"=""OL23HBR""","ADD Blank ring to 23"" (""H"" Models)  ADDs 1.05 cu ft.",330.00,,,true,,405.00
"=""OL28HBR""","ADD Blank ring to 28"" (""H"" and Non-""H""Models)  ADDs 1.67 cu ft.",385.00,,,true,,475.00
"=""OLDTFK""",Olympic Doll/Test Mini Oval Furniture Kit,71.25,,,false,,115.00
"=""OLHB8FK""","Olympic HB84, HB86 and HB89 Furniture Kit",67.50,,,false,,108.00
"=""OL12FK""",Olympic 129 and 1214-120 Furniture Kit,122.25,,,false,,160.00
"=""OLVMEK""",Olympic: Vent Master Expansion Kit,180.00,,,true,,275.00
"=""OLDM3P""",Three Phase,90.00,,,true,,110.00
"=""OLCEK3Z""",Olympic Zone Control Option for Commercial Electric Kilns,270.00,,,true,,295.00
"=""OLKSC""",Olympic Kiln Star Controller,50.00,,,true,,
"=""OL2827GFK""",2827 and 2831 TorcHBearer Furniture Kit,622.50,,,false,,830.00
"=""OLEKC""",Olympic Castors,265.00,,,true,,325.00
"=""OLMAS28SFK""",Olympic MAS28 Series Furniture Kit,540.00,,,false,,880.00
"=""OLGENESIS""",Olympic Kilns Upgrade to Genesis Touchscreen Controller,110.00,,,true,,150.00
"=""OLSC12K""",Olympic 120V 12 Key Kiln Star Controller,50.00,,,true,,
"=""OLVG3DC""",Olympic Vitrigraph: Upgrade to 3 Key Digital Controller,170.00,,,true,,
"=""OES12KC""",Olympic Electro-Sitter : Kiln Star 12 Key Controller,170.00,,,true,,
"=""OESGENESISTSC""",Olympic Electro-Sitter : Genesis Touch-Screen Controller,180.00,,,true,,200.00
"=""OLLSS""",Olympic: ADD Lid Safety Shut Off,95.00,,,true,,115.00
"=""OLDME""",Olympic: ADD Lid Elements for Glass and Ceramics: ADDS 8 AMPS to the kiln draw.,330.00,,,true,,650.00
"=""OLLA""",Olympic ADD Lid Lift Assist,445.00,,,true,,550.00
"=""OLL23PR""","Olympic: Add Low Pressure Regulator for 23"" or 28"" Gas Kiln",240.00,,,true,,275.00
"=""OLTL5432FK""",Olympi Kilns: ADD Furniture Kit to TL5432,2478.75,,,false,,3635.00
"=""OLPHASE3""",Olympic 3 Phase Option,90.00,,,true,,110.00
"=""OLLSO""",Olympic: Auto Lid Shut-Off (Required in Europe),95.00,,,true,,115.00
"=""OLVSSEK""",Olympic : ADD Vent System to Standard Electric Kiln,529.00,,,true,,775.00
"=""OL20BR""","Olympic ADD a 4.5"" blank ring: ADDs 1.3 cu ft.",360.00,,,true,,480.00
"=""OL30BR""","ADD a 4.5"" blank ring: ADDs 2.75 cu ft.",505.00,,,true,,625.00
"=""OLCWLS""",Olympic: Counter Weight Lid System: OPTION ONLY:,445.00,,,true,,550.00
"=""OLDVC""",Olympic: Downdraft Venting System,785.00,,,true,,775.00
"=""OL3ZONE""",Olympic Stackable ADD 3 Zone Option,240.00,,,true,,295.00
"=""OL3PCK""",Olympic 3 Phase: Commercial Kilns,440.00,,,true,,450.00
"=""OLSSR17""","Olympic Solid State Relays for FL17, FL20,FL24",600.00,,,true,,650.00
"=""OLSSR173P""","Olympic Solid State Relays for FL17, FL20,FL24 when 3 Phase",850.00,,,true,,925.00
"=""OLFL20FK""",Olympic FL17 and FL20 Furniture Kit,984.30,1158.00,,true,FL17FK,1235.00
"=""OLPHASE3C""",Olympic 3 Phase Commercial Kilns Option,440.00,,,true,,450.00
"=""OL480V""",Olympic 480 Volt upgrade on Commercial Kilns,505.00,,,true,,550.00
"=""OLFL45FK""",Olympic FL4.5 Furniture Kit,447.95,527.00,,,FL45FK,530.00
"=""OLFL55FK""",Olympic FL5.5 Furniture Kit,465.00,547.00,,,OL55FK,545.00
"=""OLFL8FK""","Olympic FL8, FL10, FL12 Furniture Kit",799.00,942.00,,,FL8FK,1195.00
"=""OLFL24FK""",Olympic FL24 Furniture Kit,1819.00,2143.00,,,FL24FK,2190.00
"=""OLFL27FK""","Olympic FL27, FL31 Furniture Kit",1819.00,2143.00,,,FL27FK,2270.00
"=""OLFL36FK""",Olympic FL36 Furniture Kit,1889.00,2223.00,,,FL36FK,2270.00
"=""OLFL42FK""",Olympic FL42 Furniture Kit,2999.00,3185.00,,,FL42FK,3510.00
"=""OLFL53FK""",Olympic FL53 Furniture Kit,3599.00,4256.00,,,FL53E  ,4680.00
"=""OLFL64FK""",Olympic FL64 Furniture Kit,2189.00,2575.00,,,FL64E,2830.00
"=""OLFL10""",Olympic FL-10 Front Loading Electric Kiln,8999.00,9755.00,,true,,10750.00
"=""OLFL45""",Olympic FL-4.5 Front Loading Electric Kiln,6299.00,6680.00,,true,,7500.00
"=""OLFL24-old""",Olympic FL-24 - ARCHIVE,14599.00,16635.00,,true,,18300.00
"=""OLFL36""",Olympic FL-36 Front Loading Electric Kiln,21999.00,24735.00,,true,,27250.00
"=""OL23RAKUFK""",Olympic 23 Raku Furniture Kit,567.00,756.00,,true,,935.00
